电影名称,导演,演员,类型,简介,上映时间,头图
年年岁岁,李璞,赵正达 沈诗雨 姬宇飞 谢慧文 李树英,剧情 家庭,梦境与幻觉不断侵入米寻的现实生活，尘封的往事，隐秘的情感被渐渐揭开，米寻决意以此拍摄一部电影，与父亲重逢与告别。,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2898576168.jpg
御龙修仙传3上古战场,彭禺厶 Yusi Peng,彭禺厶 雷濛 杜冯羽容 Yurong Dufeng 陈立唯 朱嘉镇 李小鹏 常钰词 殷志伟 谷雪儿 达丽雅,奇幻 古装,为救身具十大修仙圣体之一但产生异化生命垂危的蓝墨伊，傅炎毅然前往有真神期高手分身守护的上古战场里层神佑之地找寻神炎。上古战场分三层，一层险胜一层。在降服外层守护兽赤墨玄蛟到达入口处时，遇到千年前前往中层四象极地收服士灵兽受伤的严欢死敌，苍岩宗宗主苍石灵君，二人为争夺对方半张藏宝图一番激战后和解，共同前往四象极地......,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2886364035.jpg
长河一日,冯路明,程悦 小川,剧情 短片,时光自然流转，情感细腻流动，思考渐次生发。真人短片《长河一日》以娓娓道来的轻盈叙事，深描家庭环境，体悟个人成长。,2023,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2894822537.jpg
远山花开,刘全玮,林婉盈 蒋昊伦 王钢,剧情,讲述了来自江苏南京的支教老师刘晓慧，和陕西秦岭深处的大麦村一群留守儿童之间关于爱和成长的故事。,2023,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2886476737.jpg
阳神之太上忘情,李永勤,孙祖君 余梦寒 施予斐,动作 奇幻,玉京城洪府公子洪易因母早逝，自幼在府内备受欺辱，为了给亡母正名争光进城赶考。谁知就在考试报名的前一晚，神秘少女上门邀请洪易来纯狐族教书，洪易阴差阳错被卷入一场凶险的追杀。在经历了险象环生的冒险后，洪易发现这一切竟与自己的身世息息相关，自此洪易决心踏上修行之路，查清事情的全部真相......,2023,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2889818013.jpg
非常警察,卢祖生,黄海冰 丁海峰 赫子铭 杜建桥 王志鹏 李广斌 安泽豪 田野 曹雪飞,悬疑 犯罪,在雷亮（黄海冰 饰）和刘队（丁海峰 饰）的带领下，以武强（赫子铭 饰）为代表的特警战士，为守护正义与和平与猖獗暴徒展开了一场殊死较量。由杜建桥、王志鹏、李广斌、田野、曹雪飞等饰演的不法兄弟团，杀人越货，四处逃窜。而走私头目虎哥（王建新 饰）、黑帮老大白哥（安泽豪 饰)则各怀鬼胎，互相勾结。一次次出警围剿打击之下，所有犯罪份子皆成困兽之斗，同时也牵扯出更大后台。商业大佬洪庆东（王槊 饰）一掷千金，企图买断所有人的命，暗中运筹着一场遮天阴谋。当正邪相撞，钱权交织，一场洗劫一切的风暴即将降临！,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2899092174.jpg
除恶,胥明文 郭玉龙,刘晓晔 谢孟伟,动作 悬疑 犯罪,在某辖区发生了一起抢劫案。由于嫌疑人具有一定的反侦查能力，使刑警们掌握的线索一次次中断。但刑警们毫不气馁，不忘初心，夜以继日地奔走四方深入调查，继而寻找到新的线索，刑警顺藤摸瓜先后将两名抢劫案犯抓获归案，审讯中二人对抢劫供认不讳。但刑警并没有就此结案，因在侦破此案过程中发现主犯牵涉一件赌博案，其交代是因欠下巨额赌资才铤而走险实施抢劫，赌场设在旅游船上。刑警乔装打扮上船参赌，里应外合将赌窝捣毁。,2023,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2899811201.jpg
完美之城：最勇敢的小孩,周圣崴,,短片,梦见在碎纸山丘，刀片大手从后追杀，纸男孩从梦魇惊醒，声声呼唤父母，逐渐发现至亲就是恐惧的根源。 《完美之城》材质系列的第二回，以纸张构成的世界与男孩，巧妙与金属形成相生相克的心理游戏。,2023,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2889211937.jpg
辣警狂花1,袁烁 Shuo Yuan 王珂,闫佳颖 李冉 赵菁 洪爽,犯罪,讲述了警方为抓捕毒枭赵文玖，安排特警队员唐诗雨接近赵文玖的妹妹芽芽，以方便进入贩毒团伙内部卧底。期间赵文玖的仇家，大毒枭陈家华为了报仇潜入中国境内，唐诗雨周旋在两方中，一方面收集证据，另一方面接触赵文玖的手下花酒，在经历一系列的波折后，花酒开始信任唐诗雨，在花酒的帮助下，唐诗雨巧妙传递信息，成功将所有不法分子一网打尽。故事体现了作为人民警察不仅要善恶分明，惩恶扬善，还要在人民群众受到生命危险的时刻义无反顾的上前救援。而作为女性的唐诗雨也展现出了过人的才智，以及面对危险能够化险为夷的能力，丝毫不逊于男队员，并且领导自己的女特警小分队，相互配合默契，处置快速准确，彰显了过硬的心理素质和业务能力!,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2889693645.jpg
知了,钟鸿鍦,张雅淇 张常敏 周春华 刘伟志,短片,6岁的惠惠想在这个夏天学会游泳，但外公突然过世、父母的关系骤然紧张，诸多变故之下她还能留住属于自己的夏天吗？影片在2001年北京申奥的时代背景下细致还原了一个普通四川家庭的日常生活，以白描的形式深入而克制地展现了家庭成员间的冲突与和解。小孩子观察者的视角与天真的发问，仿佛炎炎夏日中的一声蝉鸣，消解了成人世界的复杂性。,2023,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2892158053.jpg
黑豹特警队,谢明 陈镭月 卢特,赵羚淞 张芷源,动作,(川)网影审字(2022)第002号，四川星空影视文化传媒有限公司,2023,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2885959497.jpg
明天的派对,关皓天,蒋昀霖 牟睿妮 徐兆邦 周茉,剧情 爱情 短片,"厦门的冬天，年轻人们的夜晚。电子乐，舞蹈——暗昧的空间里，蒋第一次遇见了小宇，她说后天是她的生日，问他要不要来。他们彼此喜欢，亲吻，度过了难忘的夜晚。但隔天，当他们再次见面的时候，不知怎么，却突然觉得对方是陌生的。
                                    
                                　　派对在海边的山上，来的都是小宇的朋友。黑夜里，大家一起上山下海，弹琴唱歌，玩得很开心。可是整个晚上，蒋都无法融入宇和她朋友们的世界。不知不觉的，他开始意识到，从某一刻起他们之间的关系似乎已经结束了，或许，一切从来就没有开始过。",2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2909587899.jpg
钉装巧合,陈晓蒙,钟林煜 张思敏,爱情 科幻 短片,地下室女孩和天台男孩的奇遇故事,2023,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2895999157.jpg
超能透明人,文一行,苏袀禾 陈叶琳 邢瀚卿 朱拉拉 张欣源 尚迪奥,喜剧 奇幻,东南亚某国的“躺平青年”彭大翔，在唐人街经营着一家开锁店，每日吊儿郎当混日子。直到一天他意外接触到异星神秘物质，竟变成了透明人展开了一系列啼笑皆非的事情，当他还摸不清头脑分不清是福是祸之时，却已悄然卷入到一场惊天阴谋中，彭大翔瞬间变成各路都炙手可热的“抢手货”。三伙势力撞在一起，最终彭大翔在这场闹剧中成功拯救了自己和朋友们，也让当地唐人街恢复往日的平静。,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2896596589.jpg
蛇之战,钟未溪,魏巍 邵帅 沈陶然 程东 程琪 张毓宜 郭震 脑门额尔德尼 朱海军 徐小琴 许敏 蔡国隆 龚思乐,惊悚 灾难,吴老板是一名借运送动物为名将大批重度污染废水运送到公海处理赚取佣金的倒爷，长期的非法倾倒导致生活在附近的海洋生物产生变异且极具攻击性。林浩东为了弥补患有假性自闭症的女儿，带她登上了豪华邮轮“平安号”。出海的过程中，邮轮遭受海底巨蛇突袭，在这场灾难面前，林浩东与众人开启了一场惊险刺激的求生之战。,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2901005609.jpg
酒蒙子,葛禹岐,吴明轩,,东北某小城，老吴曾是小城毛纺厂的车间主任，厂子倒闭后丢了铁饭碗，在侄子的酒吧做清洁工。妻子离去，儿子在外谋生，孤身一人每日喝酒度日，渐渐的开始被身边人所嫌弃。儿子长期啃老，老吴心力憔悴。某日，老吴确诊为胃癌晚期，生命进入倒计时。老吴为自己买了块最小的墓地，把剩余的钱全部转给了儿子。回家的途中偶遇扭秧歌的队伍，老吴挥舞着酒瓶放肆地扭了起来，仿佛是要为自己真正的活一次。,2023,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2889962151.jpg
镇魂曲之九霄琴,何佳男,熊黛林 杨馥羽 于非凡 徐嘉苇 王宝童,剧情,"“沉水入火，九霄琴出；当今之世，谁敢争锋。”是江湖中流传了百年的名言。传闻得九霄琴者可一统江湖，号令天下。可是却鲜有人知，这背后其实还有一句预言，那就是——“逆天犯顺，浩劫难当；欲要平治，祭琴舍身。” 在争夺此琴的过程中，世人拼得你死我活，九霄琴也辗转流传，终被大将军尉迟秋声取得，带回了凤乐王朝。为使此琴不再危害江湖，国主将其交给了淡薄名利的祭司莲一。在她至纯至净的乐律下，九霄琴成功认主，展现出强大的御敌之力。至此，九霄琴被奉为凤乐王朝的镇国之宝，江湖武林也回归了短暂的平静。 可国宝之力还是引来了邻国的觊觎，乱战侵袭了整个凤乐王朝，尉迟秋声和莲一不忍苍生罹难，力战敌军，终用生命换来了家国太平，九霄琴也就此遗失。 十七年一晃而过，凤乐王朝河清海晏，百姓尽享太平盛世，可此时的江湖武林却暗流涌动。神秘的青囊坊坊主广发英雄帖，邀请武林中的能人异士前去试乐，扬...
                            
(展开全部)",2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2885958448.jpg
魔幻奇缘之宝石公主,高国峰 王森,张艺雯 唐泽宗 吴凡 张成杰 陈倩 韩岩 金然,动画 奇幻 冒险,讲述了一直向往外界的公主琳娜，阴差阳错中与“大盗”司马森相遇，在他的“帮助”下成功逃离王宫、最终揭开女巫阴谋的冒险故事。,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2907528240.jpg
我本少年,白铭健 吴吞,姜晨 房子斌 嘉泽 徐宏杰 罗鹏 张光北 李小晶 费伟妮,剧情,一个自以为是的天才少年，经历了大学的打击、蜕变，重新认识自我，战胜自我，终于重返校园发明出人脑传输信号的新型量子芯片的故事。,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2895674236.jpg
普通夜晚,麦子,刘陆 赵天爱,剧情 短片,被相遇埋伏的两个女人，普通一日，行星交汇夜晚的静谧时刻，生命故事在对话。,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2898243256.jpg
重紫之雪仙情,吉阳,杨欣颖 权裴伦 张可艾,爱情 古装,阴水仙原是仙门天山派雪陵仙尊的关门弟子，因对雪陵一往情深，触犯门规被无奈逐出师门。雪陵是仙门尊者，志向守护苍生，因此虽对阴水仙有意，却只能深埋在心。后雪陵为对抗魔尊逆轮而战亡，阴水仙为救雪陵求助魔尊亡月，自愿为魔族服务。雪陵苏醒却失去了记忆，与阴水仙如普通夫妻一般生活在凡间。然阴水仙因执行魔界任务镇压妖后宣蕤，引发了与仙草小兰、妖后宣蕤的一段爱恨情仇。终阴水仙与雪陵两人通过对彼此的爱与信任，解开了四人之间的前尘往事，共同获得了新生。本片讲述了阴水仙和雪陵之间，彼此陪伴、守护与奉献，最终再续前缘的故事，展现了女主阴水仙执着追求，为爱付出的精神，和男主雪陵忠诚坚定，唯爱不变的品质。,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2889345305.jpg
猎杀无人区,靳浩,刘剑羽 更登彭措 尹雨航,犯罪,无人区的荒野里，正在发生着一场惊险的生死追踪。少年堇言在无人区游玩，却意外拍下了盗猎者袭击警方的场面。盗猎者袭击了堇言，堇言忍耐着极端的疼痛与严寒的天气一路逃到了牧民家，却再次被盗猎者发现。盗猎者欺骗了堇言的姐姐，意图将堇言引出夺走证据，但却被机智的堇言发现，并救下了姐姐朴雨。姐弟两人在无人区的荒野中艰难地逃亡，但命运的歧路却让他们走向更大的危险之中。最终，在警方的及时出击下，堇言姐弟两人凭借着自己坚强的意志，终于从犯罪分子的魔掌中逃脱，等待盗猎者将是正义与法律的制裁。,2023,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2892039602.jpg
怨偶铠甲,陈京,陈美行 沁坤 俞艾辰 张德晖 孙艺真 赵伟峰,剧情 悬疑 惊悚,沈楠的妻子方子玉在旅游时失踪，罗薇为了找回表姐方子玉，安雅为了追求沈楠，同时来到沈楠身旁，围绕着沈楠展开一场明争暗斗。最终他们找到了幕后黑手，却落入陷阱，三人摒弃前嫌精诚合作，终于将幕后黑手绳之以法。,2023,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2893715162.jpg
白狐·情缘,黄羿,江铠同 陈烨林 李萌萌 王冠 高姝瑶 叶项明 尚斯琪,爱情 奇幻,电影讲述了一个妖魔丛生的架空年代，少年术师邂逅失忆狐族女妖，一人一妖在奇幻冒险中历经爱恨情仇，最终在蜀山剑侠的帮助下联手阻止了覆灭世界的阴谋，却自此人妖永隔的故事。,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2896529324.jpg
对决无声,孙浩洋,李诚儒 李大海 王艺曈 刘文凤,犯罪,进队不久的缉毒警成杰在抓捕毒贩时被咬疑似感染艾滋病，队长刘云飞接到通知江城会有一场大的毒品交易。在抓捕毒贩破除成杰感染艾滋病同时，嫌疑人于长蒲进入警方视线。经查于长蒲只是被利用，而幕后毒枭是矿主杨江。,2023,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2897768282.jpg
盗听者,杨毅坤,苑琼丹 王子延 张伊楠 李迪恩 林可昕 郑健鹏 邱子建,剧情 动作 悬疑,青年吴非凡听力超凡，与好友王杰龙利用自行开发的程序进行信息处理。他实质是非法组织的实验对象，自己毫不知情。而后他顽强反抗，在挽救生命、寻找真相的道路上，逐渐成长为富有责任感、道德感的青年,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2890148938.jpg
辣警狂花3,袁烁,闫佳颖 李冉 赵菁 李晓波 洪爽,动作 犯罪,《辣警狂花3》讲述了以黎子雄为首的犯罪团伙，绑架富商女儿以求获得巨额赎金，警方选派长年经受严格训练，综合技术和心理素质都十分过硬的女特警唐诗雨、凌潇、杨帆，三人与绑架团伙斗智斗勇，最终绑架团伙被擒，人质被成功解救。作为警局领导的特警队周支队长和刑警队队长徐文彬，在面对犯罪分子，运筹帷幄，合理安排队员打击犯罪，并且在队员士气低沉时，鼓励队员不怕挫折，越战越勇。身为女特警的唐诗雨、凌潇、杨帆，面对危险临危不乱，面对困难善于动脑，最终凭借自己过硬的能力，成功抓获犯罪嫌疑人。而以黎子雄为首的犯罪团伙，以犯罪作为获取财富的方式是极度不可取的，这种方式终将覆灭，也最终将受到法律的制裁。,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2889929868.jpg
彩戏师之云机现世,国建勇 买志远 孙旗,姜萌轩 索笑坤 范津玮 何翔 梁辉 完颜和卓,奇幻 武侠 古装,"项白因捉弄县令被捕，彩英为求情陷入林素与
                                    
                                　　二皇子的阴谋中，因彩英与红衣长相颇为相
                                    
                                　　似，林素使其冒充彩戏国师红衣。项白出狱
                                    
                                　　后，为解救青梅竹马彩英前往顺京，循着线索
                                    
                                　　潜入云机社。红衣心腹周方被林素买通加害红
                                    
                                　　衣，却阴差阳错地被项白当成是彩英而救下。
                                    
                                　　红衣施展彩戏大法，醒来后失忆，只当自己是
                                    
                                　　彩英一路跟着项白及好友公输盘逃脱追杀，三
                                    
                                　　人来到公输盘家乡黑水村。黑水村民尽是亡国
                                    
                                　　遗民，项白等人在其恳求下同意解救在顺京为
                                    
                                　　质的夏帝，却没想到夏帝早已安于现状，众人
                                    
                                　　失落离开。红衣记起自己身份，识破林素偷天
                                    
                                　　换日的阴谋。项白和红衣决定兵分两路，解救
                                    
                                　　彩英并揭发林素阴谋，可惜因夏帝出卖，林素
                                    
                                　　早有准备，二皇子成功篡位，彩英也死于林素
                                    
                                　　之手……",2023,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2889834633.jpg
侠盗之簪花乱,吕嘉华,冯建宇 林妍柔 孔琳 王艺明 郑沛琳,动作 武侠,本剧讲述了自小在越女国长大的江湖侠盗宁无书与同伴妙空空劫富济贫行侠仗义时意外卷入一场阴谋危机，与越女国公主相识相知，一同解救民众对抗邪恶势力化解国祸危机，成为真正为国为民的侠义英雄的传奇故事。,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2891609045.jpg
蘑菇,李涵,,动画 短片,我家的一个盆栽里总是会长出一颗又矮又圆的蘑菇，随着我发现自己与这颗蘑菇之间的相似处，我对这颗蘑菇的态度也发生了转变。,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2899736568.jpg
日落而息,郑洪来,,纪录片,遥远的东北乡村的记忆，最真实的平淡中藏着新旧的冲突以及爱与无奈的对抗，传奇且有意义。,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2876335794.jpg
第一人称,韩晓军,丁庆祥 马佳慧 Jiahui Ma 苏强 郭巳明 陆军,剧情,"一场公司内部的颁奖典礼，权力、庆典、金钱、爱情、事业，五种人生切片交错上映，讲述每一个“我”的故事。
                                    
                                　　影片荣获：
                                    
                                　　第四届印度世界电影节最佳处女作
                                    
                                　　特利佩尔电影节最佳处女作
                                    
                                　　纽约电影金像奖最佳故事片导演
                                    
                                　　弗洛伦萨电影金像奖最佳影片
                                    
                                　　伊斯坦布尔电影节最佳独立电 影
                                    
                                　　入围：
                                    
                                　　巴塞罗那独立电影节
                                    
                                　　罗马棱镜电影节
                                    
                                　　奥斯陆独立电影节（最佳剧本）
                                    
                                　　出品/制作 深圳市野火映像文化传播有限公司
                                    
                                　　出品：河北鲸颢影视文化传媒有限公司
                                    
                                　　联合出品 北京桃子将影视传媒有限公司；彬州梦想流坊文化传播有限公司",2023,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2876738741.jpg
二次呼吸,申由甲,钟晨瑶 梁戟 刘添祺 林琪 王春妹 蒋清青,剧情,一个女孩因为时空错乱，遇到了另一个自己，从此被另一个自己取代。女孩决定杀死另一个自己，夺回自己的生活。可当她杀死另一个自己后，却发现生活并没有恢复成原来的样子，而是陷入了另一种虚无。最终，女孩决定自杀，结束这荒诞的一切。,2024,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2897854798.jpg
南方南方,肖海平,白沙 曹翠芬 沈诗雨 郄路通 周卫星 任杰 易辉 程波,剧情,北漂多年的林杉杉（刘白沙 饰）回到了南方老家，把曾经和奶奶（曹翠芬 饰）依为伴的老屋修缮成了民宿；在民宿里与来自不同地方的四组客人之间发生了四段奇妙且温馨的故事。,2024,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2911976163.jpg
老枪,高朋,祖峰 秦海璐 周政杰 冯雷 邵兵 何熙维 衣云鹤,剧情 犯罪,"一把沉默失声的老枪，一场忍无可忍的厮杀。
                                    
                                　　射击运动员顾学兵（祖峰 饰）因故退役，成为工厂保卫科一名普通的干事，发现同事监守自盗的他，在试图阻止时却发现爱慕对象金雨佳（秦海璐 饰）的儿子耿晓军（周政杰 饰）也牵涉其中。随着盗窃事件中突发的一场意外坠亡，深埋的罪恶浮出水面，所有人都被裹挟其中，一场避无可避的爆发即将到来。",2024,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2914448379.jpg
雪泥鸿爪,范一夫,,短片 儿童,讲述了东北小城的冬天，男孩想要一双冰鞋的故事。,2023,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2900265293.jpg
毕业第一年,陈金辉,李禹锋 蔡杰 杨育建 张海怡 陈省通,剧情 喜剧 爱情,影片讲述的是在毕业的第一年里，毕业生总是充满彷徨和迷茫，主角陈博文一年换了5份工作，却还是没有找到自己的方向。直到一次偶然的机会，他遇到了大学同学老相，让他重新接触上了表演。因为角色的需要，他重新去寻找毕业后的同学，在他们的身上，他看到了不同的毕业第一年。无论对与错，在最热血的青春，每个人都应该为梦想去奋力试。,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2897279128.jpg
聊斋新编之辛女子,尹波,郭岱鑫 贾旭明 杜玉明 艾威 赵子漪 陈亮亮 宋梓侨 赵寒雪 侯立新 范子绮,剧情 奇幻,11月20日，聊斋系列院线电影“聊斋新编四部曲”（《聊斋新编之画皮人》《聊斋新编之婴宁》《聊斋新编之辛十四娘》《聊斋新编之鸦头》）在象山影视城开机。电影由尹波执导，无限精彩（无锡）影业公司，安徽泽深影业，杭州宝行文化出品,2023,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2900100067.jpg
兰父 蘭父,啟恒,陈修元,纪录片 短片,《蘭父》，顾名思义，关于“兰花”，关于“父亲”或“父权”。影片主要通过简述十部与符号“兰花”相关的电影作品，重视“兰花”与多个主题间的联系与纠缠：性与情欲，神话与殖民想象，集体历史与个人记忆等。影片以“讲故事”的形式静静地穿梭在真实与谎言间，如同拟态的兰花般尝试捕获相遇者在内心所潜藏的欲望与羁绊。,2023,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2899809983.jpg
中央广播电视总台第1届中国电视剧年度盛典,时冉,撒贝宁 马凡舒 金晨 王景春 吴越 颜丙燕 白宇 宋佳 宁理 李乃文 魏大勋 谭松韵 成泰燊 何蓝逗 王圣迪 李庚希 颜丹晨 荣梓杉 黄剑东 聂远 范帅琦 谢可寅 晏紫东 王绍林 李点石 尹鸿 王倦 李小冉 岳红 路阳 胡明 庄殿君 侯鸿亮 龙平平 刘江 王小枪 刘和平 李路 孔笙 滕华涛 张桐 薛继军 胡歌 张可盈 曹曦文 夏德俊 赵阳 黄澄澄 贺刚 杨轶 邱心志 姚一奇 吉舒亦 王大奇 隋俊波 苏晓 李向东 程武 黄小蕾 苗驰,真人秀,"由中央广播电视总台推出的CMG首届中国电视剧年度盛典于2023年1月14日进行红毯直播及晚会录制，并于2023年春节档在总台综合频道（CCTV-1）、电视剧频道（CCTV-8）等平台播出，通过打造一场具有权威性、仪式感、公信力、影响力的文艺盛会，汇聚电视剧行业的优质创作力量，展示中国电视剧的新气象。
                                        
                                    　　盛典云集来自播出平台、影视剧制作公司等业界知名人士，邀约深受观众喜爱的电视剧剧组及最具代表性的老中青三代创作者，用优质精品让观众感受中国电视剧的百花齐放，以系列荣誉发布彰显中国电视剧的蓬勃朝气，以正向引领鼓舞行业士气，用赤诚创作弘扬时代正气。
                                        
                                    　　强引领、聚合力
                                        
                                    　　梦幻联动汇聚优质创作力量
                                        
                                    　　CMG首届中国电视剧年度盛典系统梳理盘点2022年中国电视剧精品之作、扛鼎之作，对优质电视剧及优秀创作者给予年度荣誉，年度男女演员、年度导演、年度大剧等十余项荣誉将在现场隆...
                            
(展开全部)",2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2887101759.jpg
原地打转,覃亚,宁桓宇 麻明 姜卓君 国义骞 梁凯 谢波,剧情 爱情 短片,一个男人因为一场意外，一直被困在原地，不断跟时间打转······,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2897958976.jpg
水让我重生,金行征,蒋裕燕 谢毛三 王李超 杨博尊,纪录片,该片讲述了残疾人蒋裕燕、谢毛三与王李超为了实现自己的奥运梦想，在浙江省残疾人文化体育指导中心与千岛湖国家水上基地训练的故事，虽然身体残疾，但是他们刻苦学习，勇往直前，展现了身残志坚的精神品格。,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2898648159.jpg
台风天,胡亦渏,,动画 短片,"台风来临之际，一张在报纸上刊登的照片，报中人物阴差阳错地卷入了谣言风波，并引发了一场乌龙闹剧。
                                    
                                　　A news photograph capturing an ordinary event sparks rumours and leads to comical misunderstandings on a stormy day.",2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2900095956.jpg
2023中秋奇妙游,,白举纲 王霏霏,真人秀,《2023中秋奇妙游》以“月”为引，回归本真，旨在开启一场不一样的心灵之旅。节目以“真实、共情、希望”三个出发点，聚焦各类人群的生活画像和生活故事，展现河南、福建等地的风土人情，呈现“真实的力量”。通过对月亮的文艺化表达，寻找传统文化在当下的映射，投射出不同情绪，带出人生百味，延续中国人千百年的文化基因。,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2898515759.jpg
仙缘传,陈幻翔,陈信喆 Xin Zer Tan 黄涛 朱娅,剧情 惊悚 奇幻 古装,行事叛逆的乖张少侠游方，为了搭救探查处子少女失踪案而潜入国师军营的同伴采薇，不慎暴露其魔族后裔的身世，更因体内封印着黄幡星的魔丸力量，引来国师玄真及魔族新君荻野的双重追杀。幸得游方师傅诸葛十方出手相救，指引游方、采薇前往参破寺，寻求故友无尘大师解惑天书破局。逃亡途中，游方被迫与孪生兄弟荻野联手，对抗玄真派来的冷酷杀手饿修罗及魍魉丸。最终，兄弟情战胜了人魔两界的敌意，心存善念的游方甘愿吸纳双子魔丸，引来惊破天雷，怀着挽救苍生之心，与国师玄真决一死战。,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2901539618.jpg
入海,武毅轩 施齐,,纪录片,毕业后择业，从学校跃入社会，是每个人一生中都要经历的阶段。来自河北省张家口市的武帆与苏博诺两位大专学历的应届毕业生就正在经历这样的时刻……,2023,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2892725471.jpg
惊蛰,马故渊,龙泽治 郑静茹,剧情 爱情 科幻 短片,小镇废青何鹏程在街上遇到了暗恋很久的小学班长周晓春。十多年未见，彼此都有了自己的故事，他们发乎情止乎礼地一起度过了无所事事的一天。,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2899262719.jpg
第28届上海电视节颁奖典礼,,吴越 雷佳音 张颂文 辛柏青,音乐 歌舞 真人秀,"2021年12月2日上海电视节官方宣布第28届上海电视节，将于2022年6月20日—24日举办并开始征集第28届上海电视节白玉兰奖节目。
                                    
                                　　中国电视剧、综艺类别报名截止时间为2022年3月31日，海外电视剧、纪录片、动画片截止报名时间为2022年2月28日
                                    
                                　　2022 年 6 月 10 日官方宣布因新冠疫情的影响，上海电视节组委会决定：原定于2022年6月举办的第28届上海电视节顺延至明年举办
                                    
                                　　2023 年 1 月 13 日官方宣布 2023征片启动中国电视剧、综艺截止日期为 2023年3月31日，海外电视剧、纪录片、动画片截止日期为2023年2月28日
                                    
                                　　2023 年 4 月 12 日官方宣布第 28 届上海电视节将于 2023 年 6 月 19 日—6 月 23 日举办，6 月 19 日开幕，6 月 23 日举行颁奖典礼",2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2892078794.jpg
神禄,何雨萌,,短片,《神禄》，一个讲述海外华人的短片，没有明确的叙事，没有能够辨认的台词，但混沌之中又令人有所思考。,2023,https://img2.doubanio.com/cuphead/movie-static/pics/movie_default_large.png
双剑合璧,朱维俐,罗立群 杨玄一 王子垣 陆艳 马永华,剧情 动作,本片讲述了分属两个政治集团的夫妻狄云和凌雪之间，在面对婚姻危机之后，共同找回属于两个人的爱情，并最终同仇敌忾，将倒卖国家火器的西厂提督刘保绳之以法的故事。,2023,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2557951451.jpg
