电影名称,类型,导演,演员,上映时间,简介,头图
歌剧魅影,剧情 爱情 惊悚 音乐,乔·舒马赫,杰拉德·巴特勒 艾米·罗森 帕特里克·威尔森 詹姆斯·弗黎特,2004-12-10,1870年，在歌剧院的地下深处，传说住着一名相貌丑陋、戴着面具、却学识渊博的音乐天才，多年来他神出鬼没，躲避世人惊惧鄙夷的目光，被众人称之为“魅影” （ 杰拉德·巴特勒 饰）。他动辄以鬼魅之姿制造各种纷乱，赶走他讨厌的歌手，甚至干涉歌剧院的主角人选和剧码安排。幼年丧父的小克莉丝汀·戴伊被吉理夫人带到歌剧院接受舞蹈训练，成为一名芭蕾舞女。当深夜无法入睡时，小克莉丝汀总期盼父亲向她许诺过的音乐天使会出现。同情她的孤独，魅影假扮音乐天使，隔着墙对她说话，安慰她幼小的心灵，并教她歌唱的技巧。就这样九年过去了，年轻貌美的克莉丝汀 （ 艾米·罗森 饰）在魅影的帮助下凭借美妙的歌喉一夜成名。在演出歌剧《哑仆》时，魅影指示要让克莉丝汀饰演主角，而让卡洛塔饰演仆人。可是剧院并没有遵从。演出时，魅影让卡洛塔失声，无法继续演出，而在演出芭蕾舞时，他又吊死了机械师约翰尼·布盖，并把他的尸体扔到舞台上。克莉丝汀和劳尔跑到剧院屋顶定情，却被魅影发现。劳尔和克莉丝汀秘密订婚，魅影突然现身于歌剧院的化装舞会，强迫歌剧院演出他亲手谱作的歌剧《唐璜》，并指名由克莉丝汀担任女主角。心烦意乱的克莉丝汀，半夜奔至父亲坟前哭诉，魅影却意外的出现在墓园，劳尔也追了上来，与魅影拼剑，魅影愤怒的要与克莉丝汀和劳尔宣战。在《唐璜》首演当晚，歌剧院四周布满警察，不料魅影竟然杀死男主角，亲身改扮上场，与克莉丝汀演对手戏。在戏演到最高潮时，克莉丝汀当众扯下他的面具，魅影启动机关将歌剧院的吊灯坠落，剧院付之一炬。魅影还将克莉丝汀掳至他的地下密室。劳尔追踪至地下，和魅影展开对决，却被他用绳索勒住，魅影藉此要胁克莉丝汀答应求婚。一方面为了保护劳尔，另一方面克莉丝汀看清魅影的绝望和可怜之处。克莉丝汀吻上狂暴的魅影，此刻魅影明白自己对克莉丝汀的爱与克莉丝汀和劳尔的爱相比相差甚远，绝望的魅影送走紧紧相拥的这对恋人，在警察和群众闯入地下密室前，悄然隐去，只留下一张似笑非笑的凄凉面具。1919年巴黎，年迈的劳尔坐着轮椅到破旧不堪的歌剧院里参加拍卖。在拍卖会上遇到了同样年迈的吉理夫人的女儿，劳尔拍到了一个身穿波斯袍子敲着铙钹的玩具猴的音乐盒，并把音乐盒带到了克莉丝汀的墓前。却发现克莉丝汀的墓前还有一枝系有墨绿色丝带的玫瑰花。,https://p0.pipi.cn/mmdb/d2dad592c7e7e1d236339ecfef01e9b22be99.jpg?imageView2/1/w/464/h/644
我不是药神,剧情 喜剧,文牧野,徐峥 王传君 周一围 谭卓,2018-07-05,本片改编自慢粒白血病患者陆勇代购抗癌药的真实事迹。普通中年男子程勇经营着一家保健品店，不速之客吕受益的到来，让他做起了治疗慢粒白血病的印度仿制药独家代理商。在做生意的过程中，他认识了不少病患及家属，生意逐渐变成了一场关于救赎的拉锯战。,https://p0.pipi.cn/mmdb/54ecde9a2c9f2a51ba06d67d795a9434b8421.jpg?imageView2/1/w/464/h/644
乘风破浪,剧情 喜剧 冒险,韩寒,邓超 彭于晏 赵丽颖 高华阳,2017-01-28,2022年赛车手徐太浪 （ 邓超 饰）一直对父亲反对自己的赛车事业耿耿于怀，在向父亲证明自己的过程中，阿浪却意外的卷入了一场奇妙的冒险。在1998年的亭林镇，他结识了一群兄弟好友——身为录像厅老板的阿正 （ 彭于晏 饰）、程序员小马 （ 董子健 饰）、六一 （ 高华阳 饰）和阿正的女友小花 （ 赵丽颖 饰）。阿浪与“正太帮”好兄弟一起饮酒高歌、 惩恶扬善、携手制霸亭林镇，一同闯过许多奇幻的经历后，阿浪对自己的身世有了更多的了解 。,https://p0.pipi.cn/mmdb/d2dad5920307e1338f39ddde219f1f0b104d4.jpg?imageView2/1/w/464/h/644
我独自升级-二次觉醒-,剧情 动作 动画 奇幻 冒险,中重俊祐,坂泰斗 中村源太 上田丽奈 平川大辅,2024-11-28,十多年后，连接世界的“大门”出现，唤醒了拥有超能力的“猎人”，最弱的猎人Sung Jinwoo遇到了一个双重地牢，并接受了一个神秘的任务，成为唯一能够升级的人，改变了他的命运。,https://p0.pipi.cn/mediaplus/bigdata_mmdb_mmdbtask/cdf05c143d6ea46e3815d55f2101964537a97.jpg?imageView2/1/w/464/h/644
踢出个未来,儿童 励志 喜剧,刘宁,王奕博 易炳晟 刘子漠 杨一然,2024-09-28,"该片以全国小学足球赛冠军常德石门五小球队为原型，展现乡村少年热爱生活，追求梦想的历程。酷爱足球的乡村少年王小奔遇到城市来的不羁少年邱飞宇，在“魔鬼”教练的引导下成为""飞奔组合""，他们一路过关斩将，一骑绝尘。在全国足球大会到来之际，""飞奔组合""却面临拆散并成为对手，狭路相逢，他们的友谊该何去何从？",https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c143d68d372a914dc9240c713e15b150.jpg?imageView2/1/w/464/h/644
通往夏天的隧道，再见的出口,爱情 动画,田口智久,铃鹿央士 饭丰万理江 小宫有纱 照井春佳,2024-08-30,本作改编自八目迷同名小说，讲述了塔野薰与转校生花城杏子为了得到彼此相要的东西而携手合作、探寻传说只要进入就能得到任何想要东西的隧道的故事。,https://p0.pipi.cn/basicdata/54ecde33c69c7ec9fd300bb326d6521cef778.jpg?imageView2/1/w/464/h/644
发小儿万岁,剧情 喜剧 青春,安佳星,,2024-05-24,北京城的某条胡同，住着自称“七小福”的七个发小儿。从小到大，他们有福一起享，有事一起扛，把彼此当作没有血缘的家人。直到变故和意外接踵而至，关系发生变化，矛盾逐渐凸显，曾经被忽略的差异与隐患被无限叠加放大，他们开始质疑彼此的真心与付出，原本牢固的小团体出现裂痕与危机。人生路上考验不断，他们能否顺利度过难关，捍卫自己的友情？,https://p0.pipi.cn/mmdb/54ecde870309237a3517898cb9d2f6d408f11.png?imageView2/1/w/464/h/644
复仇者联盟,动作 科幻 奇幻 冒险,乔斯·韦登,小罗伯特·唐尼 克里斯·埃文斯 马克·鲁法洛 克里斯·海姆斯沃斯,2012-05-05,一股突如其来的强大邪恶势力对地球造成致命威胁，没有任何一个超级英雄能够单独抵挡。长期致力于保护全球安危的神盾局感到措手不及，其指挥官“ 独眼侠” 尼克·弗瑞（ 塞缪尔·杰克逊 饰）意识到他必须创建一个“地球史上最强”的联盟组织，云集各方超级英雄一起发威，才能拯救世界于水深火热，抵御黑暗势力的侵袭。于是由六大超级英雄— 钢铁侠托尼·斯塔克（ 小罗伯特·唐尼 饰）、 美国队长史蒂夫·罗杰斯（ 克里斯·埃文斯 饰）、 雷神索尔·奥丁森（ 克里斯·海姆斯沃斯 饰）、 绿巨人布鲁斯·班纳（ 马克·鲁弗洛 饰）、 黑寡妇娜塔莎·罗曼诺夫（ 斯嘉丽·约翰逊 饰）和 鹰眼克林特·巴顿（ 杰瑞米·雷纳 饰）组成的 “复仇者联盟”应运而生。他们各显神通，团结一心，终于战胜了以洛基为首的邪恶势力，保住了地球的安全。（信息来源 ）,https://p0.pipi.cn/mmdb/d2dad592c7e7e1b5352ff7f5ba052a8b600a5.jpg?imageView2/1/w/464/h/644
西游记之再世妖王,动画 奇幻 动作,王云飞,边江 张磊 蔡海婷 苏尚卿,2021-04-03,混沌初开之时，世上的第一只妖降世，名元蒂，被奉为妖祖。千百万年后，昔日妖王孙悟空被唐僧从五行山下救出，悟空答应保护唐僧，前往西天取经。而传说中的妖祖元蒂再次现世，三界岌岌可危。两代妖王注定终极一战，但这次，孙悟空遇上了真正的劲敌 。,https://p0.pipi.cn/mmdb/d2dad5927e10fa7a35e19bee61016953ad92b.jpg?imageView2/1/w/464/h/644
茶啊二中,动画 奇幻 喜剧,夏铭泽,邢原源 王博文 高禹恒,2023-07-14,茶啊二中是一所充满活力和激情的校园，这里有着一群个性鲜明的学生，他们有着各自的梦想和追求。同时，这里也有着严格的的教育制度和老师们的谆谆教诲，让学生在成长中面临着各种挑战。初三三班最调皮的“差生”王强和“严格班主任”石妙娜意外的互换了身体，压迫已久的王强过了一把当班主任的瘾，石妙娜也体会到了做“差生”的滋味。石妙娜的公开课比赛日期临近，二人急需找到换回身体的方法。与此同时，在茶啊二中，学生们的生活充满了喜怒哀乐。他们要面对同学之间的竞争和压力，也要面对老师们的期望和责备。在这个充满挑战和机遇的校园里，他们也学会了成长和面对生活的种种问题 。,https://p0.pipi.cn/mmdb/fb7386d7338ddd3139f0eefb73d17c1a581b3.jpg?imageView2/1/w/464/h/644
肖申克的救赎,剧情 犯罪,弗兰克·德拉邦特,蒂姆·罗宾斯 摩根·弗里曼 鲍勃·冈顿 威廉·桑德勒,1994-09-13,一场谋杀案使银行家安迪（蒂姆•罗宾斯 Tim Robbins 饰）蒙冤入狱，谋杀妻子及其情人的指控将囚禁他终生。在肖申克监狱的首次现身就让监狱“大哥”瑞德（摩根•弗里曼 Morgan Freeman 饰）对他另眼相看。瑞德帮助他搞到一把石锤和一幅女明星海报，两人渐成患难 之交。很快，安迪在监狱里大显其才，担当监狱图书管理员，并利用自己的金融知识帮助监狱官避税，引起了典狱长的注意，被招致麾下帮助典狱长洗黑钱。偶然一次，他得知一名新入狱的小偷能够作证帮他洗脱谋杀罪。燃起一丝希望的安迪找到了典狱长，希望他能帮自己翻案。阴险伪善的狱长假装答应安迪，背后却派人杀死小偷，让他唯一能合法出狱的希望泯灭。沮丧的安迪并没有绝望，在一个电闪雷鸣的风雨夜，一场暗藏几十年的越狱计划让他自我救赎，重获自由！老朋友瑞德在他的鼓舞和帮助下，也勇敢地奔向自由。,https://p0.pipi.cn/mmdb/54ecde3311ef2abe12f0ee281b37b5fc0bc2b.jpg?imageView2/1/w/464/h/644
雄狮少年的天空,,未公布,,,本片讲诉了留守少年阿娟和好友阿猫、阿狗在退役狮王咸鱼强的培训下参加舞狮比赛，经过重重磨砺，从病猫变成雄狮的成长故事。,https://p0.pipi.cn/mmdb/fb7386d787a33887a92ff7be76330b521fea1.jpg?imageView2/1/w/464/h/644
双生婴灵,恐怖 惊悚,朱迅,熊婧文 韩陌 姚致远 林羲汐,,谢静从医院醒来后背突现对称血痂，回到家里之后每天夜里发现镜中夜夜映出双生女童撕扯彼此。溺毙时浴缸浮出满是血水的双生胎儿。面临突如其来的诡异事件，谢静的丈夫赶紧找来神婆来到家里检查房间的怪事，施展祭祀的符咒贴满房间里的每一处地方。暴雨夜，谢静腹腔爆裂，爬出的连体女婴各咬住她半边心脏，血水在瓷砖上汇成双生咒纹……,https://p0.pipi.cn/mediaplus/friday_image_fe/0fa3344ef87f87529482bff1ec5eb8f1f5c01.jpg?imageView2/1/w/464/h/644
狄仁杰之通天帝国,动作 悬疑 古装,徐克,刘德华 李冰冰 梁家辉 刘嘉玲,2010-09-29,"公元690年，经过八年苦心经营，武则天（ 刘嘉玲 饰）即将正式登基，成为中国历史上第一位女皇帝。当时的中国，是世界上幅员最大人口最多的国家。仅仅唐朝神都洛阳一地，人口就将近百万。疆域西达葱岭，北达蒙古，南至越南。随着高达六十六丈，象征至高皇权的""通天浮屠""渐近完工，武则天的登基大典也已就绪。世人皆知""浮屠落成之日，女皇登基之时""。不料，匪夷所思的命案竟接连在神都洛阳发生。死者无故自燃，都在胸腹间起火，延及全身，宛若炮烙般被烧成灰烬，未烧尽的部分也焦黑如残枝废炭。更让武则天心惊的是，受害者几乎都是她亲政之后提拔的亲信。显然，凶手是在挑战她的权威。武则天深知只有找出凶手，才能安定人心，自己登基后的地位才能稳固。武则天急于揪出凶手，但她的敌人实在太多，多到难辨敌我。就在此时，武后收到法力高强且多年来与她关系密切的国师陆离的讯息，说起如今妖人逆行犯案，皆因太白星离宫八年，身陷囹圄，尚未归位，武则天很快想起素有文武具备通天神探美誉的狄仁杰（ 刘德华 饰）：当年，因为皇帝年幼、她决定垂帘听政，第一个跳出来反对的大臣便是狄仁杰。狄仁杰因此获罪，被囚禁到焚字库服刑，一晃就是八年。武则天下令，要自幼入宫与她亲若母女的贴身女官上官静儿（ 李冰冰 饰）将狄仁杰尽速召回（ 如果他还活着的话）。狄仁杰还活着。不仅活着，经过八年磨难，他从一个意气风发、锋芒外露的办案高手，变成一个沉稳内敛，处变不惊的男人。他终日在焚字库里面对熊熊大火，焚烧着过期的奏折。面对上官静儿，狄仁杰似乎早已作好准备。狄仁杰被召回神都洛阳晋见武则天，两人相对，感慨颇多：一个是当年桀傲不逊、几乎动摇自己权位的男子；一个是高高在上，让自己过了八年生不如死日子的女人。望着满面沧桑的狄仁杰，武则天特命他为钦差，协同大理寺彻查洛阳发生的焚尸案。也许此刻，只有全无官场包袱且智勇双全的狄仁杰，才能深入这诡谲阴谋的核心。情势所逼，狄仁杰接下了这个任务。专门办案的大理寺少卿裴东来（ 邓超 饰），阴错阳差成了狄的手下。加上狄仁杰原来入狱之前的老朋友、现任「通天浮屠总监修」的沙陀（ 梁家辉 饰），三人联手，全力查案追凶。最终，狄仁杰凭借非凡的毅力、勇气和智慧，理清了重重案情，发现沙陀才是幕后黑手，经过一番激斗将罪大恶极的凶手绳之以法。而他自己，也为此付出了巨大的代价。",https://p0.pipi.cn/mmdb/d2dad592c7e7e17a35cf3e52e95a05c9492e7.jpg?imageView2/1/w/464/h/644
我的世界,纪录片 传记,Paul Owens,Jens Bergensten Lewis Brindley Brent Copeland Ben Craddock,2012-12-23,"The first year in the life of independent game studio ""Mojang"" following the landmark success of their debut title, ""Minecraft.""",https://p0.pipi.cn/basicdata/54ecde2f8078d37a35d2364acb8ccbef3a2f9.jpg?imageView2/1/w/464/h/644
悲惨世界,剧情 爱情 音乐,汤姆·霍珀,休·杰克曼 安妮·海瑟薇 罗素·克劳 阿曼达·塞弗里德,2013-02-28,1815年的土伦监狱中，编号为24601的囚犯冉·阿让在此处长期服刑。他为了救快饿死的外甥而偷面包，却由于不断越狱而加重罪行。得到假释后的他，在前往指定城市的途中，不断被排挤歧视。只有当地受人尊崇的主教对他施以援手，遭受一系列不平等待遇使冉·阿让满心愤恨，偷走了主教的银器。被抓捕后，主教以德报怨，不仅没有揭发冉·阿让，还将最贵重的银烛台赠予了他。被主教的慈悲与宽容感化的冉·阿让决定痛改前非，弃恶从善。1823年，改名为马德兰的冉·阿让成为了一名成功的商人，因他乐善好施，深受当地市民的爱戴，被推选为市长。一名叫芳汀的女工被众人排挤赶出工厂流落街头。为了给女儿治病，她沦落成妓女。冉·阿让在芳汀临终前答应找到她的女儿珂赛特，照顾她一生。此时，追捕他多年的警长沙威抓住了一名容貌与他相似的人。冉·阿让不忍让他人代自己受过，投案自首坦白了身份。在与沙威一番搏斗后，他潜逃来到德纳迪埃夫妇的旅店接走了珂赛特。1832年，共和派青年马吕斯与珂赛特在街头一见钟情，在德纳迪埃夫妇女儿艾潘妮的帮助下相见。此时，备受人民爱戴的拉马克将军逝世，学生领袖安卓拉决定在拉马克的葬礼上起义。冉·阿让担心沙威发现他的行踪，决定带着珂赛特离去。马吕斯在失落中决定加入起义。起义的学生筑起了街垒，沙威混入其中想要破坏他们的计划，小伽弗洛什揭发了他的身份，沙威被学生们抓起来。艾潘妮为了保护马吕斯身中枪伤，在他的怀中死去。来寻找马吕斯的冉·阿让请求学生们将沙威交给他处置，偷偷放走了他。最后一战，起义者们全部牺牲，除了被冉·阿让救走的马吕斯。冉·阿让背着马吕斯从下水道逃走，遇到了以盗尸为生的德纳迪埃，他偷走了马吕斯的戒指和手表。在下水道出口，冉·阿让再次遇到了沙威。沙威被冉·阿让善良的本性所感动，放走了他，却无法面对自己恪守多年的信念，最终投河自尽。在马吕斯和珂赛特的婚礼前夕，冉·阿让向马吕斯坦白了身份并请求他为自己保守秘密，为了让珂赛特得到安宁的生活，他独自离开了。在婚礼上，德纳迪埃夫妇不请自来，拿出戒指和手表证明冉·阿让是杀人犯，意图敲诈。马吕斯这才知道自己一直未曾蒙面的救命恩人就是冉·阿让。他立即带珂赛特找到了冉·阿让。此时的冉·阿让奄奄一息，在祝福了他们后永远地闭上了双眼 。,https://p0.pipi.cn/mmdb/d2dad592b125bf39ddb53535f1e8c9d192d84.jpg?imageView2/1/w/464/h/644
